sector,property_type,built_up_area,bedRoom,bathroom,balcony,agePossession,servant room,store room,furnishing_type,luxury_category,floor_category,price
35.0,0.0,1120.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,1.35
91.0,0.0,1287.317,2.0,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.9
35.0,1.0,2827.154,4.0,5.0,4.0,3.0,1.0,1.0,0.0,2.0,2.0,12.0
113.0,0.0,919.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.56
52.0,0.0,1225.3369716674408,3.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,2.1
94.0,0.0,700.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,2.0,0.5
35.0,0.0,1285.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,1.91
18.0,0.0,2783.391,3.0,5.0,2.0,3.0,1.0,0.0,1.0,2.0,2.0,3.65
7.0,0.0,1214.5875522526708,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,0.9
106.0,0.0,2110.0874164636216,4.0,3.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,1.75
98.0,0.0,1028.9256043134958,2.0,2.0,4.0,3.0,0.0,1.0,1.0,0.0,2.0,0.73
61.0,0.0,1800.0,3.0,3.0,4.0,3.0,0.0,0.0,0.0,2.0,2.0,1.45
46.0,0.0,1629.3601950766372,3.0,3.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,1.55
6.0,0.0,909.607,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.95
33.0,1.0,4491.218,6.0,8.0,2.0,3.0,1.0,1.0,0.0,2.0,2.0,18.9
97.0,0.0,1389.5144446471606,3.0,3.0,3.0,3.0,1.0,0.0,1.0,1.0,2.0,1.35
41.0,0.0,1453.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,2.0,1.55
58.0,1.0,2352.93,5.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,3.5
5.0,0.0,2069.3116581514164,3.0,3.0,4.0,3.0,1.0,0.0,1.0,1.0,2.0,0.85
113.0,0.0,1769.4589999999998,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.2
66.0,1.0,3429.5639999999994,6.0,6.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,3.65
57.0,0.0,2030.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,2.35
35.0,1.0,2415.525,4.0,4.0,4.0,3.0,1.0,1.0,0.0,2.0,1.0,8.4
29.0,0.0,2794.0,4.0,6.0,4.0,1.0,1.0,0.0,2.0,1.0,2.0,4.8
82.0,0.0,2119.743707396185,4.0,5.0,4.0,0.0,1.0,0.0,0.0,2.0,2.0,2.1
